SKU,Title,Description,Image,Category,Brand,Price,Stock
2004-1201,"50x 2-conductor through terminal block; 4 mm²; suitable for Ex e II applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 4,00 mm²; gray",The Series 2004 enables easy connection of solid-core and flexible wiring with crimping wire-end sleeved conductors.,https://www.wago.com/medias/1024-0200002c000310dd000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w2MzI3OHxpbWFnZS9qcGVnfGg3My9oNTQvMTI4Nzg5MTU5MjgwOTQvMTAyNF8wMjAwMDAyYzAwMDMxMGRkMDAwMTAwYjZfREUuanBnfDNmODhhZTdiNzdlZTA4MWQyZDU3Yjg3OGFhMWFlMDEyNDVhZjkyYzUxNzk5ZDBkYWYwZGUxNjY5MDQ4NWU4MTM|https://www.wago.com/medias/1024-020000040001d5ae000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wyNTAyMnxpbWFnZS9qcGVnfGg0NC9oOGMvMTI4NzY3NjE1MzAzOTgvMTAyNF8wMjAwMDAwNDAwMDFkNWFlMDAwMTAwYjZfREUuanBnfGYxOTUxOGE4Mzg2YmE3OWU1MWI2MjcxYTIxMmE5NTZhZjhlNzk3M2Y0NjM5OWJkNTQyMjg3NWRlMTFjMjE4Y2Q|https://www.wago.com/medias/1024-020000190002d837000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNDA1fGltYWdlL2pwZWd8aDMwL2hjOS8xMjU3MTk1NzM5NTQ4Ni8xMDI0XzAyMDAwMDE5MDAwMmQ4MzcwMDAxMDBiNl9ERS5qcGd8ZDJlMDdmYmRhMTU3YTIyN2I2YmJjNTdkMzM3MDAwYzg4ZDRkNWNlNDc4NzQ3YjMwNTZkY2ZiOTJjMjhmMzc1OA,Rail-Mount Terminal Blocks,Wago,39.5,2090
249-115,"25x Test plug adapter; suitable for 255, 256, 257 Series PCB terminal blocks; 1-pole; Pin spacing 10.16 mm / 0.4 in; orange","The Series 2004 enables easy connection of solid-core and flexible wiring with crimping wire-end sleeved conductors.
",https://www.wago.com/medias/1024-0200000d00039e17000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w5MTU1fGltYWdlL2pwZWd8aDEzL2g0MC8xMjU3MDMyNDMzNjY3MC8xMDI0XzAyMDAwMDBkMDAwMzllMTcwMDAxMDBiNl9ERS5qcGd8ZWM3ZTYxYjMwYjNmZDI2ZTU0NGNlZjIyZjI0YWIxM2Q4ZDExYWI5NzhkNDJmMzExYmY4ZDRkMTY3MjcxN2RhZQ|https://www.wago.com/medias/1024-0200002500034cf3000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNjcwMXxpbWFnZS9qcGVnfGg0Yy9oN2EvMTI0Mjg1MDI0MzM4MjIvMTAyNF8wMjAwMDAyNTAwMDM0Y2YzMDAwMTAwYjZfREUuanBnfDlkOWM3MjE2MDYxZjMxM2M1YWYxZTZiYzgyMDJiOTM2Zjk5YWY4ZGIxYTk4OWM1Nzg3ZTZmMDhkNWNlM2M4OWY|https://www.wago.com/medias/1024-0200000b0003f03d000100b6-EN.jpg?context=bWFzdGVyfGltYWdlc3wzOTQwMHxpbWFnZS9qcGVnfGgxOC9oZTEvMTMyNDM5OTk0MjA0NDYvMTAyNF8wMjAwMDAwYjAwMDNmMDNkMDAwMTAwYjZfRU4uanBnfDEwNDgwZTdhZmFiZDQ2ZTVjNWUzOTJlOWVmMTFjOGM4NTNkNzcxZmY5MzA5Mjc1MGE1ZjMwMjM3M2M3MmY5OGI|https://www.wago.com/medias/1024-0200000b0003f0ce000100b6-EN.jpg?context=bWFzdGVyfGltYWdlc3w0NTM0NnxpbWFnZS9qcGVnfGg5Mi9oZmIvMTI4NzY3NTkzNjc3MTAvMTAyNF8wMjAwMDAwYjAwMDNmMGNlMDAwMTAwYjZfRU4uanBnfDAwNjgwOTJhYWU1OTliN2RkNWZkN2JkNDAwYWEwNDIwZjhmZjIxOTM4ZjBmZDE3YTBkNGE3ZjZkNGU0NGFlNjU,PCB Terminal Blocks,Wago,87.75,750
2002-1201,"100x 2-conductor through terminal block; 2.5 mm²; suitable for Ex e II applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 2,50 mm²; gray","The 2-, 3- and 4-conductor earth-wire terminals enable a simple plugging of one-wired and flexible conductors equipped with crimped wire-end sleeves.",,Rail-Mount Terminal Blocks,Wago,64,480
2006-1201,"50x 2-conductor through terminal block; 6 mm²; suitable for Ex e II applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 6,00 mm²; gray",The series 2006 enables a simple plugging of one-wired and flexible conductors equipped with crimped wire-end sleeves.,https://www.wago.com/medias/1024-0200002c00031b51000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w2MzM2OXxpbWFnZS9qcGVnfGg3Mi9oZGQvMTI4Nzg3MDU0MjY0NjIvMTAyNF8wMjAwMDAyYzAwMDMxYjUxMDAwMTAwYjZfREUuanBnfGQ3ZGQ1NWY5OTc1MjdiMGNkYzA5YTg4MWNmOWJmMzA2Zjg5NWIwZTBkMTM5ZWM4M2U5MjgwZmM5MGI0NjM0NDk|https://www.wago.com/medias/1024-02000004000158c8000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wyNzQyOXxpbWFnZS9qcGVnfGhiNi9oYmMvMTI4NzcxNDgyNTgzMzQvMTAyNF8wMjAwMDAwNDAwMDE1OGM4MDAwMTAwYjZfREUuanBnfDc0ZDFlOWIxNzhmYzU5NTVkMTQ3ZjcyNTU3YzM2YTZlMjQ1MmRlZTQ5MDMyYjRlZWUwMGM5MzA2ZTJmNDViMWY|https://www.wago.com/medias/1024-020000190002d837000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNDA1fGltYWdlL2pwZWd8aDMwL2hjOS8xMjU3MTk1NzM5NTQ4Ni8xMDI0XzAyMDAwMDE5MDAwMmQ4MzcwMDAxMDBiNl9ERS5qcGd8ZDJlMDdmYmRhMTU3YTIyN2I2YmJjNTdkMzM3MDAwYzg4ZDRkNWNlNDc4NzQ3YjMwNTZkY2ZiOTJjMjhmMzc1OA,Rail-Mount Terminal Blocks,Wago,62,440
2002-1204,"100x 2-conductor through terminal block; 2.5 mm²; for Ex e II and Ex i applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 2,50 mm²; blue","The 2-, 3- and 4-conductor earth-wire terminals enable a simple plugging of one-wired and flexible conductors equipped with crimped wire-end sleeves.
",https://www.wago.com/medias/1024-0200003200027470000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w3NzAxNnxpbWFnZS9qcGVnfGg3Ni9oNmEvMTMyNDkzMDMzNDcyMzAvMTAyNF8wMjAwMDAzMjAwMDI3NDcwMDAwMTAwYjZfREUuanBnfDBmNmE5N2U0ZWVjN2QzZWM1YzJjMjkwOWY0ZmM5ODViMTUwN2JmMDc0ZjYxNjNjNWFkNDY5OTAwZWEyMzkwODA|https://www.wago.com/medias/1024-0200000000021a81000200b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wyODQ3NHxpbWFnZS9qcGVnfGg0Mi9oN2IvMTIzMjI5MzgxMjYzNjYvMTAyNF8wMjAwMDAwMDAwMDIxYTgxMDAwMjAwYjZfREUuanBnfGNjMDI0ZGY0NDJkNzRlMmRlYjEzNmYwYzNiMDMyMzFmNjcwNjRjYzAxNGI2YWU2Y2JlZDM5OTczNzVkMTVlNzM|https://www.wago.com/medias/1024-020000190002d837000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNDA1fGltYWdlL2pwZWd8aDMwL2hjOS8xMjU3MTk1NzM5NTQ4Ni8xMDI0XzAyMDAwMDE5MDAwMmQ4MzcwMDAxMDBiNl9ERS5qcGd8ZDJlMDdmYmRhMTU3YTIyN2I2YmJjNTdkMzM3MDAwYzg4ZDRkNWNlNDc4NzQ3YjMwNTZkY2ZiOTJjMjhmMzc1OA,Rail-Mount Terminal Blocks,Wago,67,300
2002-1291,25x End and intermediate plate; 0.8 mm thick; gray,,https://www.wago.com/medias/1024-0200002700004996000200b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxMzIwMXxpbWFnZS9qcGVnfGhiOC9oNmIvMTI4NzcyOTk2NzkyNjIvMTAyNF8wMjAwMDAyNzAwMDA0OTk2MDAwMjAwYjZfREUuanBnfDgwMmI3ZTNmY2UyYWNlYTViYTJiYTUzZWM0MzQzZjNmOWI4OGI3YTVhNTFhMDA4NjI5YWY0MmQ1MjY4MzEyYmY,Rail-Mount Terminal Blocks,Wago,6,281
2004-1291,25x End and intermediate plate; 1 mm thick; gray,,https://www.wago.com/medias/1024-0200002900033159000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxMzA3OHxpbWFnZS9qcGVnfGg3MC9oYTkvMTI4NzgwNDE3NzYxNTgvMTAyNF8wMjAwMDAyOTAwMDMzMTU5MDAwMTAwYjZfREUuanBnfDNlMTJlNTA3MzExZjcwYmM2YmY0ODViNTE5NDkyNzdkM2MyNmY4OWQ0Yjg1MGZlYjBjZTdlMWM3ODk4ZDcxMDg,Rail-Mount Terminal Blocks,Wago,9.75,275
2004-402,25x Jumper; 2-way; insulated; light gray,"Insulated jumper bar for series 2004.
",https://www.wago.com/medias/1024-020000050000cf05000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w1ODQ3fGltYWdlL2pwZWd8aDBkL2g1Yy8xMzI0MTQ1MDg1NjQ3OC8xMDI0XzAyMDAwMDA1MDAwMGNmMDUwMDAxMDBiNl9ERS5qcGd8YzI3OTEzNTA0NjNlZGQ2Y2YyOGNhZjE1YTAyMmI0ZDMzOWJmYWJkYzNlMzk5YTVjMmU3MmUyN2QwZjQxNjMxNg,Rail-Mount Terminal Blocks,Wago,7.25,250
2010-1201,"25x 2-conductor through terminal block; 10 mm²; suitable for Ex e II applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 10,00 mm²; gray","The protective conductor terminal 2010 made possible by the CAGE CLAMP S connector simple plug from a wire- and flexible, provided with crimped ferrules, connectors.
",https://www.wago.com/medias/1024-0200000900020e23000400b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w2MDI5NXxpbWFnZS9qcGVnfGhiOS9oZGYvMTI4Nzg2NTc1MTk2NDYvMTAyNF8wMjAwMDAwOTAwMDIwZTIzMDAwNDAwYjZfREUuanBnfGRkYmE2YzkzNzE1YjQ5MjVjOGNmNWU5MzU5NTdjNWY1ZmRkZGZmNWM0YmNiMDk4ZWQ3ZWU1YmRjMDIyN2YwMjk|https://www.wago.com/medias/1024-020000040001b2a9000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wzMDU5NnxpbWFnZS9qcGVnfGg3Zi9oZjQvMTI4NzY4OTM0NTQzNjYvMTAyNF8wMjAwMDAwNDAwMDFiMmE5MDAwMTAwYjZfREUuanBnfGI2ZjE1NmNhNDk0YTBkYzNlN2RkZTFkYmY5YjEyNjU1NmNlNjkwZTE2NzBmZTI0ZjgzMDFlNmIxNmU2NTQ5Yzk|https://www.wago.com/medias/1024-020000190002d837000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNDA1fGltYWdlL2pwZWd8aDMwL2hjOS8xMjU3MTk1NzM5NTQ4Ni8xMDI0XzAyMDAwMDE5MDAwMmQ4MzcwMDAxMDBiNl9ERS5qcGd8ZDJlMDdmYmRhMTU3YTIyN2I2YmJjNTdkMzM3MDAwYzg4ZDRkNWNlNDc4NzQ3YjMwNTZkY2ZiOTJjMjhmMzc1OA,Rail-Mount Terminal Blocks,Wago,40.75,224
2006-1291,25x End and intermediate plate; 1 mm thick; gray,,https://www.wago.com/medias/1024-0200002900032be9000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxMTg3MHxpbWFnZS9qcGVnfGhiNC9oM2EvMTI4NzgyNDkzMjg2NzAvMTAyNF8wMjAwMDAyOTAwMDMyYmU5MDAwMTAwYjZfREUuanBnfGM0YWYwM2Y4NTIwNDUwOTc1ODE4ZDY3ZTNmMjRiODM3NTdhN2Q0YmUyZTRkNzJiNGVkZWMxN2MxODE1MzlkNmU,Rail-Mount Terminal Blocks,Wago,10.25,200
