Sku,,Description,Image,Category,Brand,Price,Stock
DBX04R,Dorman Smith 4 Way 250A TP&N Distribution Board DBX04R,"Current Rating: 250A
No. ways: 4
Incoming options: AV3100-3125, AV4100-4125 with DBXCKR, 4 Pole RCCB or YA3 MCCB up to 250A mounted in DBXYA3
Outgoing options: Single and Triple Pole K Series MCB, Single or Double Pole K Series RCBO and Double and 4 Pole RCCB
Exceeds the requirements of EN60439-3
IP Rating: IP4X
Height: 544mm
Width: 484mm
Depth: 159mm
Certified: Busbar certified to 10kA for 250mS",https://storage.electrika.com/manu/man-0160/picsprodmedium/tpnboard_2_20mg6e.jpg|https://storage.electrika.com/manu/man-0160/picsprod/tpnboard_1_jbcved.jpg,Distribution Boards,Dorman Smith,118.61,123
DBX06R,Dorman Smith 6 way 250A TP&N distribution board DBX06R,"Current Rating: 250A
No. ways: 6
Incoming options: AV3100-3125, AV4100-4125 with DBXCKR, 4 Pole RCCB or YA3 MCCB up to 250A mounted in DBXYA3
Outgoing options: Single and Triple Pole K Series MCB, Single or Double Pole K Series RCBO and Double and 4 Pole RCCB
Exceeds the requirements of EN60439-3
IP Rating: IP4X
Height: 598mm
Width: 484mm
Depth: 159mm
Certified: Busbar certified to 10kA for 250mS",https://storage.electrika.com/manu/man-0160/picsprodmedium/tpnboard_2_20mg6e.jpg|https://storage.electrika.com/manu/man-0160/picsprod/tpnboard_1_jbcved.jpg,Distribution Boards,Dorman Smith,135.39,123
DBX08R,Dorman Smith 8 way 250A TP&N distribution board DBX08R,"Current Rating: 250A
No. ways: 8
Incoming options: AV3100-3125, AV4100-4125 with DBXCKR, 4 Pole RCCB or YA3 MCCB up to 250A mounted in DBXYA3
Outgoing options: Single and Triple Pole K Series MCB, Single or Double Pole K Series RCBO and Double and 4 Pole RCCB
Exceeds the requirements of EN60439-3
IP Rating: IP4X
Height: 651mm
Width: 484mm
Depth: 159mm
Certified: Busbar certified to 10kA for 250mS",https://storage.electrika.com/manu/man-0160/picsprodmedium/tpnboard_2_20mg6e.jpg|https://storage.electrika.com/manu/man-0160/picsprod/tpnboard_1_jbcved.jpg,Distribution Boards,Dorman Smith,137.33,123
DBX12R,Dorman Smith 12 way 250A TP&N distribution board DBX12R,"Current Rating: 250A
No. ways: 12
Incoming options: AV3100-3125, AV4100-4125 with DBXCKR, 4 Pole RCCB or YA3 MCCB up to 250A mounted in DBXYA3
Outgoing options: Single and Triple Pole K Series MCB, Single or Double Pole K Series RCBO and Double and 4 Pole RCCB
Exceeds the requirements of EN60439-3
IP Rating: IP4X
Height: 758mm
Width: 484mm
Depth: 159mm
Certified: Busbar certified to 10kA for 250mS",https://storage.electrika.com/manu/man-0160/picsprodmedium/tpnboard_2_20mg6e.jpg|https://storage.electrika.com/manu/man-0160/picsprod/tpnboard_1_jbcved.jpg,Distribution Boards,Dorman Smith,149.59,123
DBX16R,Dorman Smith 16 way 250A TP&N distribution board DBX16R,"Current Rating: 250A
No. ways: 16
Incoming options: AV3100-3125, AV4100-4125 with DBXCKR, 4 Pole RCCB or YA3 MCCB up to 250A mounted in DBXYA3
Outgoing options: Single and Triple Pole K Series MCB, Single or Double Pole K Series RCBO and Double and 4 Pole RCCB
Exceeds the requirements of EN60439-3
IP Rating: IP4X
Height: 865mm
Width: 484mm
Depth: 159mm
Certified: Busbar certified to 10kA for 250mS",https://storage.electrika.com/manu/man-0160/picsprodmedium/tpnboard_2_20mg6e.jpg|https://storage.electrika.com/manu/man-0160/picsprod/tpnboard_1_jbcved.jpg,Distribution Boards,Dorman Smith,221.75,123
DBX20R,Dorman Smith 20 way 250A TP&N distribution board DBX20R,"Current Rating: 250A
No. ways: 20
Incoming options: AV3100-3125, AV4100-4125 with DBXCKR, 4 Pole RCCB or YA3 MCCB up to 250A mounted in DBXYA3
Outgoing options: Single and Triple Pole K Series MCB, Single or Double Pole K Series RCBO and Double and 4 Pole RCCB
Exceeds the requirements of EN60439-3
IP Rating: IP4X
Height: 1025mm
Width: 484mm
Depth: 159mm
Certified: Busbar certified to 10kA for 250mS",https://storage.electrika.com/manu/man-0160/picsprodmedium/tpnboard_2_20mg6e.jpg|https://storage.electrika.com/manu/man-0160/picsprod/tpnboard_1_jbcved.jpg,Distribution Boards,Dorman Smith,288.66,123
DBX24R,Dorman Smith 24 way 250A TP&N distribution board DBX24R,"Current Rating: 250A
No. ways: 24
Incoming options: AV3100-3125, AV4100-4125 with DBXCKR, 4 Pole RCCB or YA3 MCCB up to 250A mounted in DBXYA3
Outgoing options: Single and Triple Pole K Series MCB, Single or Double Pole K Series RCBO and Double and 4 Pole RCCB
Exceeds the requirements of EN60439-3
IP Rating: IP4X
Height: 1132mm
Width: 484mm
Depth: 159mm
Certified: Busbar certified to 10kA for 250mS",https://storage.electrika.com/manu/man-0160/picsprodmedium/tpnboard_2_20mg6e.jpg|https://storage.electrika.com/manu/man-0160/picsprod/tpnboard_1_jbcved.jpg,Distribution Boards,Dorman Smith,308.30,123
DBXBM,Dorman Smith 5 x 1P MCB Blanks plus 5 x Busbar Terminal Blanks DBXBM,For use with: 5 x Single Pole MCB Blanks and 5 x Busbar Terminal Blanks for Distribution Boards,https://www.dungannonelectrical.co.uk/streamProductImage.aspx?&width=500&height=500&paddingColour=ffffff&ref=DBXBM&ver=2&x=.jpg,Accessories,Dorman Smith,498.44,123
DBXBP,Dorman Smith 4 x 3P MCB Blanks plus 12 x Busbar Terminal Blanks DBXBP,For use with: 4 x Triple Pole MCB Blanks and 12 x Busbar Terminal Blanks for TP&N Distribution Boards,https://images-na.ssl-images-amazon.com/images/I/21iy9GmH1QL._QL70_ML2_.jpg,Accessories,Dorman Smith,5.43,123
K1PB06,Dorman Smith MCB K Series Type B SP 6A 10Ka K1PB06,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 6A B type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105864|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105865?w=515&h=515,MCBs,Dorman Smith,6.21,123
