SKU,Title,Description,Assets,Price,Stock,Category,Brand,,,,
131N9572,Danfoss FC102 1.1KW 3A IP55 131N9572,"Frequency Converter
FC-102P1K1T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P1K1) 1.1 KW / 1.5 HP, Three phase
380 - 480 VAC, IP55 / Type 12 A4 Frame
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: A4
Other options according to Model Code

Model code:
FC-102P1K1T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_A4_IP55-66.jpg?w=300&h=300,719,10,VLT® HVAC Drive FC 102,Danfoss,,,,
131U0963,Danfoss FC102 1.5KW 4.1A IP55 131U0963,"Frequency Converter
FC-102P1K5T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P1K5) 1.5 KW / 2.0 HP, Three phase
380 - 480 VAC, IP55 / Type 12 A4 Frame
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: A4
Other options according to Model Code

Model code:
FC-102P1K5T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_A4_IP55-66.jpg?w=300&h=300,805,94,VLT® HVAC Drive FC 102,Danfoss,,,,
131U0964,Danfoss FC102 2.2KW 5.5A IP55 131U0964,"Frequency Converter
FC-102P2K2T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P2K2) 2.2 KW / 3.0 HP, Three phase
380 - 480 VAC, IP55 / Type 12 A4 Frame
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: A4
Other options according to Model Code

Model code:
FC-102P2K2T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_A4_IP55-66.jpg?w=300&h=300,948,24,VLT® HVAC Drive FC 102,Danfoss,,,,
131U0965,Danfoss FC102 3KW 7.2A IP55 131U0965,"Frequency Converter
FC-102P3K0T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P3K0) 3.0 KW / 4.0 HP, Three phase
380 - 480 VAC, IP55 / Type 12 A4 Frame
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: A4
Other options according to Model Code

Model code:
FC-102P3K0T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_A4_IP55-66.jpg?w=300&h=300,1040,14,VLT® HVAC Drive FC 102,Danfoss,,,,
131U0966,Danfoss FC102 4KW 10A IP55 131U0966,"Frequency Converter
FC-102P4K0T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P4K0) 4.0 KW / 5.5 HP, Three phase
380 - 480 VAC, IP55 / Type 12 A4 Frame
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: A4
Other options according to Model Code

Model code:
FC-102P4K0T4Z55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_A4_IP55-66.jpg?w=300&h=300,1102,9,VLT® HVAC Drive FC 102,Danfoss,,,,
131L9238,Danfoss FC102 5.5KW 13A IP55 131L9238,"Frequency Converter
FC-102P5K5T4E55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P5K5) 5.5 KW / 7.5 HP, Three phase
380 - 480 VAC, IP55 / Type 12
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: A5
Other options according to Model Code

Model code:
FC-102P5K5T4E55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_A4_IP55-66.jpg?w=300&h=300,1257,1,VLT® HVAC Drive FC 102,Danfoss,,,,
131L9239,Danfoss FC102 7.5KW 16A IP55 131L9239,"131L9239
Frequency Converter
FC-102P7K5T4E55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P7K5) 7.5 KW / 10 HP, Three phase
380 - 480 VAC, IP55 / Type 12
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: A5
Other options according to Model Code

Model code:
FC-102P7K5T4E55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_A5_IP55-66.jpg?w=300&h=300,1395,7,VLT® HVAC Drive FC 102,Danfoss,,,,
131L9240,Danfoss FC102 11KW 24A IP55 131L9240,"Frequency Converter
FC-102P11KT4E55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P11K) 11 KW / 15 HP, Three phase
380 - 480 VAC, IP55 / Type 12
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: B1
Other options according to Model Code

Model code:
FC-102P11KT4E55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_B1_IP21-55-66.jpg?w=300&h=300,1846,0,VLT® HVAC Drive FC 102,Danfoss,,,,
131L9241,Danfoss FC102 15KW 32A IP55 131L9241,"Frequency Converter
FC-102P15KT4E55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P15K) 15 KW / 20 HP, Three phase
380 - 480 VAC, IP55 / Type 12
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: B1
Other options according to Model Code

Model code:
FC-102P15KT4E55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_B1_IP21-55-66.jpg?w=300&h=300,2098,32,VLT® HVAC Drive FC 102,Danfoss,,,,
131L9242,Danfoss FC102 18KW 37.5A IP55131L9242,"Frequency Converter
FC-102P18KT4E55H3XGXXOXSXXXXAXBXCXXXXDX
VLT® HVAC Drive FC-102
(P18K) 18.5 KW / 25 HP, Three phase
380 - 480 VAC, IP55 / Type 12
(H3) RFI Class A1/B (C1)
No brake chopper
Graphical Loc. Cont. Panel
Not coated PCB, No Mains Option
Latest release std. SW.
No A Option, No B Option
No C1 option, No D option
Frame: B1
Other options according to Model Code

Model code:
FC-102P18KT4E55H3XGXXOXSXXXXAXBXCXXXXDX
Danfoss Drive is dedicated to ventilation, heating, and refrigeration applications. With a wide range of powerful standard and optional features, the Drive provides the lowest overall cost of ownership.",https://files.danfoss.com/dds/l01/VLT_B1_IP21-55-66.jpg?w=300&h=300,2629,19,VLT® HVAC Drive FC 102,Danfoss,,,,
