SKU,Title,Description,Price,Category,Stock,Brand
ZG20-RED,Europa Interfacing Relay ZG20-RED,"LED indicator, Relay eject mechanism, 6mm wide din rail mounting",5.106,Relays,100,Europa Components
ZG20-BLACK,Europa Interfacing Relay ZG20-BLACK,"LED indicator, Relay eject mechanism, 6mm wide din rail mounting",5.106,Relays,100,Europa Components
TR2-D18321,Europa Contactor Overloads for TC1 & TP1 TR2-D18321,Overload Relays do not fit on TC1 Contactors with 2N/O + 2N/C main pole contacts,35.9835,Contactors,100,Europa Components
TR2-D12316,Europa Contactor Overloads for TC1 & TP1 TR2-D12316,Overload Relays do not fit on TC1 Contactors with 2N/O + 2N/C main pole contacts,29.8655,Contactors,100,Europa Components
TR2-D09310,Europa Contactor Overloads for TC1 & TP1 TR2-D09310,Overload Relays do not fit on TC1 Contactors with 2N/O + 2N/C main pole contacts,28.1175,Contactors,100,Europa Components
TR2-D09307,Europa Contactor Overloads for TC1 & TP1 TR2-D09307,Overload Relays do not fit on TC1 Contactors with 2N/O + 2N/C main pole contacts,28.1175,Contactors,100,Europa Components
TC1-D6511P7,Europa TC1 37kW 65A AC3 (80A AC1) 3 Pole Contactors TC1-D6511P7,"Made in India, Maximum rated operational voltage 690V",128.7885,Contactors,100,Europa Components
TC1-D65004P7,Europa TC1 37kW 65A AC3 (80A AC1) 4 Pole Contactors TC1-D65004P7,"Made in India, Maximum rated operational voltage 690V",200.836,Contactors,100,Europa Components
TC1-D40004P7,Europa TC1 22kW 40A AC3 (60A AC1) 4 Pole Contactors TC1-D40004P7,"Made in India, Maximum rated operational voltage 690V",121.0835,Contactors,100,Europa Components
TC1-D3201P7,Europa TC1 15kW 32A AC3 (50A AC1) 3 Pole Contactors TC1-D3201P7,"Made in India, Maximum rated operational voltage 690V",56.9135,Contactors,100,Europa Components
